Date,AZN,^GSPC
2025-09-02,,
2025-09-03,0.02394306675749336,0.0051000736279842585
2025-09-04,-0.004019047853314195,0.008346486409699372
2025-09-05,-0.0009781805502414587,-0.003165152978388819
2025-09-08,-0.0017136100132721932,0.0021059789159529885
2025-09-09,-0.004168646436607859,0.0026881536531127015
2025-09-10,-0.005048107747382735,0.002983469943562689
2025-09-11,0.0035886941871434708,0.008485890387959882
2025-09-12,-0.01898888069517657,-0.00048276131466740146
2025-09-15,-0.0189793240517363,0.004706619226962694
2025-09-16,-0.006278162790931963,-0.0012879303382402618
2025-09-17,0.0016762657272288983,-0.0009701681605103207
2025-09-18,-0.007980516612606237,0.004789119185128365
2025-09-19,-0.01025047081808117,0.004885418870829605
2025-09-22,0.015993814257747818,0.004410046474333074
2025-09-23,-0.019741930786315143,-0.005502159197012135
2025-09-24,-0.008029487353423015,-0.002846617843333288
2025-09-25,-0.024283547975013864,-0.0050090613431266195
2025-09-26,0.0031280259635799723,0.005901836747171263
2025-09-29,0.005016241435099156,0.00263554421636214
2025-09-30,0.03493863842740663,0.0040908483833717035
2025-10-01,0.09958290168195827,0.003399920834961989
2025-10-02,-0.008416316767350662,0.0006183547238911569
2025-10-03,0.019844628817845766,6.551280273581206e-05
2025-10-06,0.0021099036704137486,0.0036465919796933033
2025-10-07,0.0044450131387316905,-0.0038114057910215715
2025-10-08,-0.005706334261750934,0.0058276636405680815
2025-10-09,-0.003982136365959232,-0.002755570407195318
2025-10-10,-0.005997267063583611,-0.02711167321141361
2025-10-13,-0.00023656659249260414,0.015598671787557583
2025-10-14,0.007218174218794227,-0.0015643266604626893
2025-10-15,-0.0034069823803069,0.004026001159503689
2025-10-16,-0.011788315227836965,-0.006294387099829435
2025-10-17,0.01025886768710027,0.0052707155502571545
2025-10-20,-0.009682361735291911,0.010672270853256949
2025-10-21,-0.007750111079594335,3.2696450934288634e-05
2025-10-22,0.0025234204468105315,-0.005337539220865439
2025-10-23,-0.0003595284605445448,0.0058273934429324825
2025-10-24,-0.0013190224481537394,0.00790242258787388
2025-10-27,0.009244796631874497,0.012290050865671143
2025-10-28,-0.01724954127901901,0.0022879438603986557
2025-10-29,-0.0045998843426723335,-4.3578255173426506e-05
2025-10-30,0.0013376025115576784,-0.00990481243951924
2025-10-31,0.0007287629361507619,0.0026179217059763005
2025-11-03,-0.00825239421313595,0.0017207127269924793
2025-11-04,0.0037933383386683506,-0.011736830084583816
2025-11-05,-0.010727756982232939,0.0036535556982648654
2025-11-06,0.03228584934302603,-0.011178189042419073
2025-11-07,0.009669434257022047,0.0012618418007710464
2025-11-10,0.03428706998294784,0.01540101862170995
2025-11-11,0.018404152178637112,0.002075350517340535
2025-11-12,-0.015826719722080385,0.0006295171887717999
2025-11-13,0.010606817394723356,-0.01655685496159698
2025-11-14,0.005529795796356485,-0.0005017255648851471
