Date,AZN,^GSPC
2025-09-02,158.72525024414062,6415.5400390625
2025-09-03,162.52561950683594,6448.259765625
2025-09-04,161.87242126464844,6502.080078125
2025-09-05,161.71408081054688,6481.5
2025-09-08,161.4369659423828,6495.14990234375
2025-09-09,160.7639923095703,6512.60986328125
2025-09-10,159.9524383544922,6532.0400390625
2025-09-11,160.52645874023438,6587.47021484375
2025-09-12,157.47824096679688,6584.2900390625
2025-09-15,154.48941040039062,6615.27978515625
2025-09-16,153.51950073242188,6606.759765625
2025-09-17,153.77684020996094,6600.35009765625
2025-09-18,152.54962158203125,6631.9599609375
2025-09-19,150.9859161376953,6664.35986328125
2025-09-22,153.4007568359375,6693.75
2025-09-23,150.37232971191406,6656.919921875
2025-09-24,149.1649169921875,6637.97021484375
2025-09-25,145.54266357421875,6604.72021484375
2025-09-26,145.9979248046875,6643.7001953125
2025-09-29,146.73028564453125,6661.2099609375
2025-09-30,151.85684204101562,6688.4599609375
2025-10-01,166.97918701171875,6711.2001953125
2025-10-02,165.57383728027344,6715.35009765625
2025-10-03,168.85958862304688,6715.7900390625
2025-10-06,169.2158660888672,6740.27978515625
2025-10-07,169.96803283691406,6714.58984375
2025-10-08,168.99813842773438,6753.72021484375
2025-10-09,168.32516479492188,6735.10986328125
2025-10-10,167.315673828125,6552.509765625
2025-10-13,167.27609252929688,6654.72021484375
2025-10-14,168.4835205078125,6644.31005859375
2025-10-15,167.9095001220703,6671.06005859375
2025-10-16,165.9301300048828,6629.06982421875
2025-10-17,167.63238525390625,6664.009765625
2025-10-20,166.00930786132812,6735.1298828125
2025-10-21,164.72271728515625,6735.35009765625
2025-10-22,165.1383819580078,6699.39990234375
2025-10-23,165.07901000976562,6738.43994140625
2025-10-24,164.86126708984375,6791.68994140625
2025-10-27,166.3853759765625,6875.16015625
2025-10-28,163.5153045654297,6890.89013671875
2025-10-29,162.76315307617188,6890.58984375
2025-10-30,162.98086547851562,6822.33984375
2025-10-31,163.09963989257812,6840.2001953125
2025-11-03,161.75367736816406,6851.97021484375
2025-11-04,162.3672637939453,6771.5498046875
2025-11-05,160.62542724609375,6796.2900390625
2025-11-06,165.8113555908203,6720.31982421875
2025-11-07,167.41465759277344,6728.7998046875
2025-11-10,173.15481567382812,6832.43017578125
2025-11-11,176.34158325195312,6846.60986328125
2025-11-12,173.55067443847656,6850.919921875
2025-11-13,175.39149475097656,6737.490234375
2025-11-14,176.3613739013672,6734.10986328125
2025-11-17,176.95518493652344,6672.41015625
2025-11-18,177.25210571289062,6617.31982421875
2025-11-19,176.14364624023438,6642.16015625
2025-11-20,175.53004455566406,6538.759765625
2025-11-21,180.12217712402344,6602.990234375
2025-11-24,181.15142822265625,6705.1201171875
2025-11-25,184.55593872070312,6765.8798828125
2025-11-26,184.71429443359375,6812.60986328125
2025-11-28,183.5266876220703,6849.08984375
2025-12-01,179.1720733642578,6812.6298828125
2025-12-02,178.4792938232422,6829.3701171875
2025-12-03,179.82525634765625,6849.72021484375
2025-12-04,178.20217895507812,6857.1201171875
2025-12-05,178.4990997314453,6870.39990234375
2025-12-08,180.6763916015625,6846.509765625
2025-12-09,177.78651428222656,6840.509765625
