ticker,event_date,alpha,beta,car_pre,car_event,car_post
AZN,2026-07-14,0.0006563233602261064,0.4258051654291844,-0.11625910226001247,-0.02009146395888617,0.027265234145258343
VRTX,2025-01-30,-0.00029495899704944377,0.6296945920170474,0.05309284080018208,0.051629049145858925,-0.0015269975668973264
GSK,2025-03-25,-0.00023845218746256966,0.08983598078258817,-0.043494985483222885,-0.023822891437557704,-0.09704620752125133
SNY,2025-03-28,0.0008953804733603182,0.10168713927056024,-0.061734738584515884,0.016740114868752383,-0.07492063619200276
NVS,2025-04-02,0.0008153336209246445,0.12011588619943235,-0.03159284541191954,0.009364743858001977,-0.026392995648236064
JNJ,2025-04-30,0.000443695267329392,-0.008983341054712234,0.006255729601039152,-0.0068741379426736585,-0.05624880790780108
ABBV,2025-05-14,0.0009717138851990103,0.3552458514749627,-0.05692403946137348,-0.05048750362108646,0.013420661458307531
NUVB,2025-06-11,-0.0011094807174848126,1.3097123917761766,0.11580032555906009,-0.30500466755666406,0.0919256436910226
REGN,2025-07-02,-0.004091041844934332,0.6879851331128244,0.04619836781553845,0.046208614326307025,0.040954402800084076
INSM,2025-08-12,0.0017447233136881496,0.8764159211827502,0.09008789194268535,0.10250380210608045,0.059251261834565326
MRK,2025-09-19,-0.0006756264812908271,0.3692187873738561,-0.02052821285243118,-0.012230115870549122,0.11388690402558399
LLY,2025-09-25,0.00015320479881539235,0.6937914531289027,-0.029324805442495546,-0.028793645241408813,0.1598805558622067
KURA,2025-11-13,0.0015789938698541246,0.9925886927672107,0.03381925320144525,0.05979220120942908,0.05216470428136193
ARWR,2025-11-18,0.0031918530832222413,1.7806359718452247,0.032721375570545407,-0.04124028482043471,0.473623802298759
CYTK,2025-12-19,0.002244045090122883,0.6286408746097918,-0.07852944411877562,0.07275492718602862,-0.03803180138441756
